DBN,School Name,Total Grads - % of cohort,Dropped Out - % of cohort
04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,87.7%,1.3%
04M495,PARK EAST HIGH SCHOOL,57.6%,10.9%
04M555,CENTRAL PARK EAST HIGH SCHOOL,66.7%,11.1%
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,100%,0%
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,41.3%,20%
04M680,HERITAGE SCHOOL  THE,56%,9.300000000000001%
04M695,URBAN PEACE ACADEMY,77.8%,11.1%
05M285,HARLEM RENAISSANCE HIGH SCHOOL,12.3%,22.2%
05M304,MOTT HALL HIGH SCHOOL,69.8%,7.3%
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,69.400000000000006%,16.100000000000001%
05M469,CHOIR ACADEMY OF HARLEM,56.4%,10.3%
05M499,FREDERICK DOUGLASS ACADEMY,82.6%,3.5%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,68.400000000000006%,10.5%
05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,37.200000000000003%,18.2%
05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,95.3%,0%
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,74.099999999999994%,9.199999999999999%
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,62.7%,12.4%
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,71.3%,9.4%
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,55.7%,20.9%
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,71.2%,3%
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,81.3%,8.800000000000001%
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,80%,3.8%
07X321,CROTONA ACADEMY HIGH SCHOOL,14.3%,17.899999999999999%
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,s,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,10%,16%
07X381,BRONX HAVEN HIGH SCHOOL   ,s,s
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,64.2%,19.8%
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,63.8%,14.5%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,83.6%,1.6%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,60.3%,7.4%
07X527,BRONX LEADERSHIP ACADEMY II HS,72.5%,14.7%
07X547,NEW EXPLORERS HIGH SCHOOL,44.4%,17.3%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,79.3%,6.1%
07X551,BRONX ACADEMY OF LETTERS,73.7%,6.6%
07X600,ALFRED E. SMITH CAREER AND TECHNICAL,40.799999999999997%,18%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,48.5%,21.6%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,69.400000000000006%,18.7%
08X282,WOMEN'S ACADEMY OF EXCELLENCE,66.7%,16%
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,65.8%,13.7%
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,40.5%,13.2%
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,56.4%,17.8%
08X312,MILLENNIUM ART ACADEMY,58.3%,9.300000000000001%
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,57.3%,14.6%
08X377,BRONX COMMUNITY HIGH SCHOOL,12.7%,24.1%
08X405,HERBERT H. LEHMAN HIGH SCHOOL,44.6%,21.2%
08X450,ADLAI E. STEVENSON HIGH SCHOOL,s,s
08X452,BRONX GUILD,62.5%,6.3%
08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,52.5%,17.2%
08X530,BANANA KELLY HIGH SCHOOL,41.7%,23.1%
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,49.4%,15.7%
08X560,HIGH SCHOOL X560 - BRONX ACADEMY HIGH,19.899999999999999%,17%
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC,43%,25.8%
08X686,NEW SCHOOL FOR ARTS AND SCIENCES,s,s
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,57.3%,8.300000000000001%
09X231,EAGLE ACADEMY FOR YOUNG MEN,63%,4%
09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,41.9%,24.3%
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY:,60%,5%
09X252,MOTT HALL BRONX HIGH SCHOOL,77.599999999999994%,1.9%
09X260,BRONX CENTER FOR SCIENCE AND MATHEMAT,88%,4%
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPED,75%,11.7%
09X276,LEADERSHIP INSTITUTE,53.7%,20.9%
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,67.7%,15.2%
09X329,DREAMYARD PREPARATORY SCHOOL,43%,16.100000000000001%
09X403,BRONX INTERNATIONAL HIGH SCHOOL,65.900000000000006%,4.5%
09X404,SCHOOL FOR EXCELLENCE,54.6%,9.300000000000001%
09X412,BRONX HIGH SCHOOL OF BUSINESS,49.1%,16.399999999999999%
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,83.5%,1%
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,45.5%,4.1%
09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,77%,4.1%
09X517,FREDERICK DOUGLASS ACADEMY III SECOND,78.2%,1.1%
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,68.5%,18.5%
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,78.7%,4.3%
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,86.7%,3.7%
10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,75.3%,5.5%
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,93.5%,1.6%
10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,73.099999999999994%,4.5%
10X243,WEST BRONX ACADEMY FOR THE FUTURE,48.6%,16.7%
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,56.8%,11%
10X284,BRONX SCHOOL OF LAW AND FINANCE,58.6%,19.2%
10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,21.2%,21.2%
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,59%,12%
10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,62.6%,12.2%
10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,s,s
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNA,s,s
10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,65.7%,22.4%
10X434,BELMONT PREPARATORY HIGH SCHOOL,63.5%,11.5%
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,73.2%,7.3%
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,51.4%,16%
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,40%,12.2%
10X440,DEWITT CLINTON HIGH SCHOOL,56.5%,17.5%
10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,74.400000000000006%,7.3%
10X445,BRONX HIGH SCHOOL OF SCIENCE,98.4%,0%
10X475,JOHN F. KENNEDY HIGH SCHOOL,35.700000000000003%,29.3%
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,88.8%,0%
10X495,UNIVERSITY HEIGHTS,90.6%,7.7%
10X546,BRONX THEATRE HIGH SCHOOL,51.9%,18.5%
10X549,DISCOVERY HIGH SCHOOL,64.599999999999994%,13.5%
10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,42%,27.1%
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,97.4%,1.3%
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,96.6%,0%
11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,66.900000000000006%,11.9%
11X265,BRONX LAB SCHOOL,62.8%,7.4%
11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,66.2%,3.1%
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,82.2%,3.3%
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,74.400000000000006%,15.7%
11X290,BRONX ACADEMY OF HEALTH CAREERS,62.6%,18.2%
11X299,ASTOR COLLEGIATE ACADEMY,64.900000000000006%,9%
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,41.6%,13.6%
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,62.1%,15.8%
11X425,EVANDER CHILDS HIGH SCHOOL,s,s
11X455,HARRY S TRUMAN HIGH SCHOOL,59.8%,13.8%
11X513,NEW WORLD HIGH SCHOOL,74.2%,3.2%
11X514,THE BRONXWOOD PREPARATORY ACADEMY,50%,15.2%
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,50.9%,16.399999999999999%
11X542,PELHAM PREPARATORY ACADEMY,89.2%,3.6%
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,60.2%,2.5%
11X545,BRONX AEROSPACE HIGH SCHOOL,88.6%,4.3%
12X245,NEW DAY ACADEMY,27.8%,25%
12X248,METROPOLITAN HIGH SCHOOL  THE,71.2%,12.5%
12X251,EXPLORATIONS ACADEMY,72.5%,17.399999999999999%
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,45.1%,18.600000000000001%
12X267,BRONX LATIN,s,s
12X271,EAST BRONX ACADEMY FOR THE FUTURE,67.599999999999994%,12.2%
12X278,PEACE AND DIVERSITY ACADEMY,49%,15.6%
12X480,BRONX REGIONAL HIGH SCHOOL,26.2%,6.5%
12X550,HIGH SCHOOL OF WORLD CULTURES,69.2%,1.9%
12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,50.5%,22.2%
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,60.5%,7.6%
12X684,WINGS ACADEMY,66.400000000000006%,10.3%
12X690,MONROE ACADEMY FOR BUSINESS/LAW,47.4%,26.3%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,47.3%,11.6%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,81.5%,3.7%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,71.900000000000006%,7.3%
13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,50%,2.6%
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,59.3%,7.4%
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,91.4%,0.2%
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,81.7%,4.3%
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,84.4%,1.8%
13K499,ACORN COMMUNITY HIGH SCHOOL,73.400000000000006%,8.300000000000001%
13K509,FREEDOM ACADEMY HIGH SCHOOL,62.1%,5.2%
13K553,BROOKLYN ACADEMY HIGH SCHOOL,16.399999999999999%,20%
13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,28.8%,3.8%
13K595,BEDFORD ACADEMY HIGH SCHOOL,92.1%,3.9%
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,52%,11%
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,8%,26.1%
13K670,BENJAMIN BANNEKER ACADEMY,92.3%,2.6%
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,40%,18%
14K322,FOUNDATIONS ACADEMY,68.3%,3.3%
14K404,ACADEMY FOR YOUNG WRITERS,76.900000000000006%,3.8%
14K449,BROOKLYN LATIN SCHOOL  THE,92.2%,0%
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,54.2%,15.6%
