DBN,School Name,Total Grads - % of cohort,Dropped Out - % of cohort
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,94.4%,0%
27Q302,QUEENS HIGH SCHOOL FOR INFORMATION  R,s,s
27Q400,AUGUST MARTIN HIGH SCHOOL,53.5%,16.7%
27Q410,BEACH CHANNEL HIGH SCHOOL,48.6%,15.7%
27Q465,FAR ROCKAWAY HIGH SCHOOL,40.200000000000003%,36%
27Q475,RICHMOND HILL HIGH SCHOOL,52%,19.8%
27Q480,JOHN ADAMS HIGH SCHOOL,56.9%,17.600000000000001%
27Q650,HIGH SCHOOL FOR CONSTRUCTION TRADES,88.1%,1.1%
28Q440,FOREST HILLS HIGH SCHOOL,84.6%,2.5%
28Q470,JAMAICA HIGH SCHOOL,48.2%,18.8%
28Q505,HILLCREST HIGH SCHOOL,64%,12.4%
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,84.9%,5.4%
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SEC,93.2%,0%
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES A,95.3%,0%
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,76.2%,7.9%
29Q248,QUEENS PREPARATORY ACADEMY,71.599999999999994%,10.5%
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL:,81.3%,9.4%
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,60.4%,2.2%
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,78.599999999999994%,2.9%
29Q283,PREPARATORY ACADEMY FOR WRITERS: A CO,77.8%,13.9%
29Q492,MATHEMATICS  SCIENCE RESEARCH AND TEC,67.599999999999994%,9.300000000000001%
29Q494,LAW  GOVERNMENT AND COMMUNITY SERVICE,57.6%,10.4%
29Q496,BUSINESS  COMPUTER APPLICATIONS & ENT,44.8%,19%
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,76.599999999999994%,6.4%
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,55.4%,13.6%
30Q450,LONG ISLAND CITY HIGH SCHOOL,58.5%,12.8%
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,94.7%,1.8%
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,67.400000000000006%,12.4%
30Q555,NEWCOMERS HIGH SCHOOL,66.400000000000006%,14.5%
30Q575,ACADEMY OF AMERICAN STUDIES,80.599999999999994%,1.9%
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCA,98.6%,1.4%
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STU,95%,1.3%
31R080,THE MICHAEL J. PETRIDES SCHOOL,88.5%,2.7%
31R440,NEW DORP HIGH SCHOOL,73.7%,8.800000000000001%
31R445,PORT RICHMOND HIGH SCHOOL,63.6%,10.6%
31R450,CURTIS HIGH SCHOOL,69.2%,9.699999999999999%
31R455,TOTTENVILLE HIGH SCHOOL,82%,8.1%
31R460,SUSAN E. WAGNER HIGH SCHOOL,75.900000000000006%,8%
31R470,CONCORD HIGH SCHOOL,34.6%,21.2%
31R600,RALPH R. MCKEE CAREER AND TECHNICAL E,55.4%,9.699999999999999%
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,99.7%,0%
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,66.7%,10.1%
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEBU,62.7%,3.7%
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,76.3%,9.300000000000001%
32K552,ACADEMY OF URBAN PLANNING,47.8%,8.699999999999999%
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,83.7%,4.7%
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACAD,55.6%,18.8%
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,7.8%,40.6%
