DBN,school_name,lat,long
12X479,Bronx Career and College Preparatory High School,0.8277639790004,-73.900386812999
11X544,High School for Contemporary Arts,0.8757542110005,-73.861387833999
30Q450,Long Island City High School,0.7657639380005,-73.932725984999
24Q610,Aviation Career & Technical Education High School,0.7435936440005,-73.929077864999
14K610,Automotive High School,0.7226426400005,-73.952583044999
29Q259,Pathways College Preparatory School: A College Board School,0.7063876580005,-73.753530021999
15K423,Brooklyn Frontiers High School,0.6902045750004,-73.989270374999
03M479,Beacon High School,0.7721581190005,-73.987796534999
21K337,International High School at Lafayette,0.5935938110005,-73.984729231999
02M422,Quest to Learn,0.7428881010005,-74.002127380999
09X564,Claremont International HS,0.8403733980005,-73.910838007999
11X545,Bronx Aerospace High School,0.8757542110005,-73.861387833999
15K592,Khalil Gibran International Academy,0.6867418620005,-73.980229064999
30Q575,Academy of American Studies,0.7513005780005,-73.937423876999
07X223,M.S. 223 The Laboratory School of Finance and Technology,0.8140108160005,-73.920836516999
21K525,Edward R. Murrow High School,0.6205043580005,-73.959233932999
09X241,"Urban Assembly School for Applied Math and Science, The",0.8393271260005,-73.901309789999
03M402,The Urban Assembly School for Green Careers,0.7857431570005,-73.974415227999
03M417,FRANK McCOURT HIGH SCHOOL,0.7857431570005,-73.974415227999
17K537,High School for Youth and Community Development at Erasmus,0.6494396750004,-73.958431197999
02M412,N.Y.C. Lab School for Collaborative Studies,0.7421007130005,-74.002073796999
31R600,Ralph R. McKee Career and Technical Education High School,0.6427410440005,-74.078711062999
07X527,Bronx Leadership Academy II High School,0.8227764900005,-73.923522793999
31R440,New Dorp High School,0.5691824270005,-74.107300807999
10X524,Crotona International High School,0.8559227100005,-73.882578979999
08X367,"Archimedes Academy for Math, Science and Technology Applications",0.8149183400005,-73.856565534999
24Q585,Maspeth High School,0.7295384820005,-73.887390522999
21K572,Expeditionary Learning School for Community Leaders,0.5935938110005,-73.984729231999
04M495,Park East High School,0.7905626000005,-73.944454407999
09X227,Bronx Collegiate Academy,0.8403733980005,-73.910838007999
26Q495,Bayside High School,0.7718672420005,-73.780386951999
12X478,THE CINEMA SCHOOL,0.8313645320005,-73.878344674999
26Q315,Business Technology Early College High School,0.7328171090005,-73.739650412999
06M462,The College Academy,0.8559383070005,-73.927029633999
02M655,Life Sciences Secondary School,0.7836442600005,-73.945741776999
02M411,Baruch College Campus High School,0.7440472480005,-73.991479298999
13K499,ACORN Community High School,0.6785089140005,-73.962067305999
05M304,Mott Hall High School,0.8173610460005,-73.947708420999
08X405,Herbert H. Lehman High School.,0.8405139770005,-73.838120959999
02M534,Harvest Collegiate High School,0.7367648260005,-73.995511132999
10X549,Discovery High School,0.8703774670005,-73.898162951999
31R080,The Michael J. Petrides School,0.6074530240004,-74.101482229999
20K485,High School of Telecommunication Arts and Technology,0.6372457160005,-74.023816472999
02M308,Lower Manhattan Arts Academy,0.7168672240004,-73.989531942999
18K633,High School for Medical Professions,0.6418442680004,-73.898687290999
05M369,Urban Assembly School for the Performing Arts,0.8152303650004,-73.955201205999
12X692,Monroe Academy for Visual Arts & Design,0.8313664900004,-73.878823276999
24Q296,Pan American International High School,0.7433028730005,-73.870574976999
02M437,Hudson High School of Learning Technologies,0.7428881010005,-74.002127380999
13K265,Dr. Susan S. McKinney Secondary School of the Arts,0.6963437730005,-73.975771101999
02M545,High School for Dual Language and Asian Studies,0.7168672240004,-73.989531942999
24Q236,International High School for Health Sciences,0.7412052000005,-73.874729883999
07X551,The Urban Assembly Bronx Academy of Letters,0.8133593030005,-73.925536514999
22K611,Origins High School,0.5941929970005,-73.936838095999
06M552,Gregorio Luperon High School for Science and Mathematics,0.8380323220005,-73.938371017999
02M392,MANHATTAN BUSINESS ACADEMY,0.7428881010005,-74.002127380999
19K502,FDNY High School for Fire and Life Safety,0.6675531110005,-73.894800536999
10X353,World View High School,0.8800818400005,-73.885901532999
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,0.7736705070005,-73.985268557999
07X670,Health Opportunities High School,0.8160844810005,-73.930323838999
30Q555,Newcomers High School,0.7513808340005,-73.937449718999
29Q498,Humanities & Arts Magnet High School,0.6955363360005,-73.734918341999
14K614,Young Women's Leadership School of Brooklyn,0.7056005430005,-73.939478066999
25Q460,Flushing High School,0.7652434710005,-73.827855281999
30Q501,Frank Sinatra School of the Arts High School,0.7565280740005,-73.925140643999
26Q435,Martin Van Buren High School,0.7328171090005,-73.739650412999
05M692,"High School for Mathematics, Science and Engineering at City College",0.8211231120005,-73.948845243999
08X332,Holcombe L. Rucker School of Community Research,0.8174394460005,-73.898049205999
