SCHOOL NAME,avg_class_size,avg_largest_class,avg_smallest_class,DBN
Bronx Academy of Letters,23.12,28.533333333333335,17.733333333333334,07X551
Alfred E. Smith Career and Technical Education High School,27.3,33.07142857142857,18.928571428571427,07X600
Samuel Gompers Career and Technical Education High School,23.629411764705882,28.41176470588235,17.058823529411764,07X655
Health Opportunities High School,25.733333333333334,30.666666666666668,19.133333333333333,07X670
J.H.S. 125 Henry Hudson,24,29,16,08X125
J.H.S. 131 Albert Einstein,31.7,33,31,08X131
Bronx Studio School for Writers and Artists,27.228571428571428,30.285714285714285,24.285714285714285,08X269
Women's Academy of Excellence,22,25.666666666666668,18.133333333333333,08X282
Renaissance High School for Musical Theater & Technology,25.826666666666668,30.666666666666668,19.866666666666667,08X293
Gateway School for Environmental Research and Technology,21.7,27.470588235294116,15.529411764705882,08X295
M.S. 301 Paul L. Dunbar,26,29,21,08X301
Pablo Neruda Academy for Architecture and World Studies,19.676923076923078,22.53846153846154,16.692307692307693,08X305
Millennium Art Academy,28.15714285714286,32,22.428571428571427,08X312
Holcombe L. Rucker School of Community Research,19.688235294117646,22.941176470588236,16.235294117647058,08X332
"Antonia Pantoja Preparatory Academy, A College Board School",23.5,24,23,08X376
Herbert H. Lehman High School,27.48421052631579,32.94736842105263,15.421052631578947,08X405
BRONX BRIDGES HIGH SCHOOL,19.08,21,17.2,08X432
"Felisa Rincon de Gautier Institute for Law and Public Policy, The",24.01875,28.9375,19.4375,08X519
Banana Kelly High School,25.284615384615385,30,20.53846153846154,08X530
School for Community Research and Learning,18.5,22.133333333333333,15.4,08X540
High School X560 - Bronx Academy High School,27.583333333333332,30.083333333333332,23.583333333333332,08X560
Jane Addams High School for Academic Careers,24.483333333333334,30.25,16.666666666666668,08X650
P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,26.7,28,24,09X218
I.S. 219 New Venture School,25.35,32,14.5,09X219
Bronx Expeditionary Learning High School,22.714285714285715,28.357142857142858,17.357142857142858,09X227
Eagle Academy for Young Men,25.473333333333333,30.333333333333332,19.866666666666667,09X231
I.S. 232,25.3,31,16,09X232
"Urban Assembly Academy for History and Citizenship for Young Men, The",21.25294117647059,23.235294117647058,19.294117647058822,09X239
"Urban Assembly School for Applied Math and Science, The",21.529411764705884,25,17.823529411764707,09X241
Eximius College Preparatory Academy: A College Board School,24.607692307692307,29.384615384615383,20.384615384615383,09X250
Mott Hall Bronx High School,27.714285714285715,31.857142857142858,23.857142857142858,09X252
Bronx Center for Science and Mathematics,22.67058823529412,28.823529411764707,16.352941176470587,09X260
Validus Preparatory Academy: An Expeditionary Learning School,26.285714285714285,29.142857142857142,22.785714285714285,09X263
Leadership Institute,22.1,25.705882352941178,18,09X276
Morris Academy for Collaborative Studies,22.846666666666668,27.666666666666668,18,09X297
I.S. X303 Leadership & Community Service,19,19,19,09X303
I.S. 313 School of Leadership Development,27.05,32,24,09X313
Bronx Early College Academy for Teaching & Learning,27.9625,30,26,09X324
Urban Science Academy,25,26,24,09X325
Comprehensive Model School Project M.S. 327,25.3,29,22,09X327
DreamYard Preparatory School,22.885714285714286,28.785714285714285,15.857142857142858,09X329
Academy for Language and Technology,23.714285714285715,28,18.357142857142858,09X365
Bronx International High School,15.61111111111111,22,12.444444444444445,09X403
School for Excellence,24.3,30.2,20.9,09X404
Bronx High School of Business,23.184615384615384,29.307692307692307,17.23076923076923,09X412
Bronx High School for Medical Science,26.035714285714285,30.357142857142858,21.5,09X413
Jonathan Levin High School for Media and Communications,24.69090909090909,29.727272727272727,19.181818181818183,09X414
"Bronx School for Law, Government and Justice",27.766666666666666,31.333333333333332,23.142857142857142,09X505
Frederick Douglass Academy III Secondary School,22.95625,27.5,17.5625,09X517
Bronx Leadership Academy High School,26.86875,30.6875,22.8125,09X525
High School for Violin and Dance,22.5,24.5,20.625,09X543
J.H.S. 080 The Mosholu Parkway,25,25,25,10X080
P.S. 095 Sheila Mencher,25.4,29,19,10X095
J.H.S. 118 William W. Niles,28.1,31,27,10X118
Riverdale / Kingsbridge Academy (Middle School / High School 141),26.794117647058822,30.705882352941178,21.352941176470587,10X141
I.S. 206 Ann Mersereau,27,32,21,10X206
Bronx Engineering and Technology Academy,22.023076923076925,25.76923076923077,18.692307692307693,10X213
Theatre Arts Production Company School,25.04,26.733333333333334,23.266666666666666,10X225
"The Marie Curie School for Medicine, Nursing, and Health Professions",25.8125,32.0625,19.875,10X237
West Bronx Academy for the Future,25.042857142857144,27.928571428571427,21.357142857142858,10X243
The New School for Leadership and Journalism,23.025,24.5,21.5,10X244
I.S. 254,27.7,34,23,10X254
Kingsbridge International High School,29.62857142857143,32.42857142857143,27,10X268
Bronx School of Law and Finance,23.358823529411765,28.941176470588236,16.764705882352942,10X284
P.S. 315 Lab School,22,24,20,10X315
Providing Urban Learners Success In Education High School,16.957142857142856,22,14.571428571428571,10X319
International School for Liberal Arts,23.723076923076924,28.76923076923077,16.615384615384617,10X342
In-Tech Academy (M.S. / High School 368),26.266666666666666,30.6,20.133333333333333,10X368
Knowledge and Power Preparatory Academy International High School (Kappa),22.75,28.444444444444443,17.11111111111111,10X374
M.S. 390,29,29,29,10X390
The Angelo Patri Middle School,19,19,19,10X391
English Language Learners and International Support Preparatory Academy (ELLIS),17.94,21.4,14.5,10X397
M.S. 399,28,28,28,10X399
High School for Teaching and the Professions,20.8,24.3125,16.25,10X433
Belmont Preparatory High School,22.36,27.666666666666668,17.133333333333333,10X434
Fordham High School for the Arts,22.888235294117646,26.470588235294116,18.823529411764707,10X437
Fordham Leadership Academy for Business and Technology,21.35625,25,17.4375,10X438
Bronx High School for Law and Community Service,21.729411764705883,25.58823529411765,16.88235294117647,10X439
DeWitt Clinton High School,26.05263157894737,32.31578947368421,14.631578947368421,10X440
"Celia Cruz Bronx High School of Music, The",23.261111111111113,26.666666666666668,19.38888888888889,10X442
Bronx High School of Science,31.16315789473684,34.21052631578947,23.36842105263158,10X445
EAST FORDHAM ACADEMY FOR THE ARTS,28.2,32,25,10X459
John F. Kennedy High School,25.19375,29.875,18.5,10X475
Marble Hill High School for International Studies,23.158823529411766,28.11764705882353,16.235294117647058,10X477
Bronx Theatre High School,24.123076923076923,31.076923076923077,17.23076923076923,10X546
Discovery High School,23.853846153846153,29.615384615384617,17.76923076923077,10X549
Grace Dodge Career and Technical Education High School,25.35,31,15.6875,10X660
High School of American Studies at Lehman College,22.189473684210526,25.42105263157895,18.42105263157895,10X696
P.S. 083 Donald Hertz,31.3,33,29,11X083
M.S. 180 Dr. Daniel Hale Williams,14.3,15,14,11X180
Bronx Health Sciences High School,22.67142857142857,29.214285714285715,16.642857142857142,11X249
Bronx High School for Writing and Communication Arts,23.66,29.2,17.666666666666668,11X253
Bronx Lab School,22.07857142857143,25.785714285714285,18.142857142857142,11X265
Academy for Scholarship and Entrepreneurship: A College Board School,28.15714285714286,32.357142857142854,24.714285714285715,11X270
High School of Computers and Technology,28.3,31.9,23.8,11X275
Collegiate Institute for Math and Science,24.11764705882353,29.11764705882353,18.529411764705884,11X288
Bronx Academy of Health Careers,27.10625,31.8125,22.1875,11X290
Astor Collegiate Academy,24.193333333333335,29.666666666666668,19,11X299
Aspire Preparatory Middle School,31.1,33,30,11X322
Bronx Green Middle School,28,28.5,27.5,11X326
School of Diplomacy,31,31,31,11X370
Christopher Columbus High School,27.294117647058822,31.235294117647058,21.647058823529413,11X415
Bronx High School for the Visual Arts,26.96470588235294,29.058823529411764,24.941176470588236,11X418
Harry S Truman High School,28.544444444444444,34.333333333333336,16.166666666666668,11X455
New World High School,21.71666666666667,25.5,17,11X513
The Bronxwood Preparatory Academy,22.9875,27,18.375,11X514
Global Enterprise High School,21.2875,25.1875,17.0625,11X541
Pelham Preparatory Academy,27.45294117647059,31.647058823529413,22.176470588235293,11X542
High School for Contemporary Arts,25.623529411764707,30.470588235294116,20.529411764705884,11X544
Bronx Aerospace High School,20.773684210526316,25.789473684210527,16.894736842105264,11X545
P.S. 211,27.7,29,25,12X211
P.S. 212,12,12,12,12X212
Mott Hall V,24.9,27,22.8,12X242
New Day Academy,20.45,22.642857142857142,18.428571428571427,12X245
"Metropolitan High School, The",23.29230769230769,25.46153846153846,20.615384615384617,12X248
Explorations Academy,21.15625,23.8125,18.5,12X251
Performance Conservatory High School,25.915384615384614,30.153846153846153,21.76923076923077,12X262
Bronx Latin,21.7,26.071428571428573,17.5,12X267
East Bronx Academy for the Future,26.978571428571428,30.785714285714285,22.214285714285715,12X271
Peace and Diversity Academy,21.042105263157893,22.210526315789473,19.94736842105263,12X278
Fannie Lou Hamer Middle School,23.75,24.5,23,12X286
Urban Assembly School for Wildlife Conservation,20.05,21,19.166666666666668,12X372
Entrada Academy,31,31,31,12X384
Pan American International High School at Monroe,15.361538461538462,18.076923076923077,13.23076923076923,12X388
THE CINEMA SCHOOL,22.69090909090909,25,18.727272727272727,12X478
BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,21.942857142857143,24.142857142857142,18.857142857142858,12X479
Bronx Regional High School,27.283333333333335,31.833333333333332,22.833333333333332,12X480
High School of World Cultures,23.166666666666668,28.733333333333334,17.933333333333334,12X550
Bronx Coalition Community High School,13.375,13.5,13.25,12X680
Fannie Lou Hamer Freedom High School,22.466666666666665,25.416666666666668,18.75,12X682
Wings Academy,24.54705882352941,29.764705882352942,19.11764705882353,12X684
Monroe Academy for Business/Law,22.906666666666666,27.8,18.2,12X690
Monroe Academy for Visual Arts & Design,22.2,30.181818181818183,16.454545454545453,12X692
M.S. 113 Ronald Edmonds Learning Center,26.733333333333334,29,23.666666666666668,13K113
Dr. Susan S. McKinney Secondary School of the Arts,21.44375,25.5,16.6875,13K265
Academy of Business and Community Development,21.2875,21.625,20.875,13K336
Urban Assembly High School of Music and Art at Water's Edge,22.16923076923077,28.53846153846154,18.846153846153847,13K350
"Brooklyn Community High School of Communication, Arts and Media",25.2,28.866666666666667,20.666666666666668,13K412
Science Skills Center High School at Water's Edge,27.16111111111111,32.22222222222222,20.11111111111111,13K419
Brooklyn Technical High School,32.45263157894737,33.94736842105263,28.57894736842105,13K430
Brooklyn International High School at Water's Edge,19.585714285714285,21.357142857142858,17.214285714285715,13K439
The Urban Assembly School for Law and Justice,22.22142857142857,26.357142857142858,17.5,13K483
ACORN Community High School,27.153333333333332,32.06666666666667,20.266666666666666,13K499
Freedom Academy High School,23.335714285714285,27.857142857142858,19.5,13K509
Urban Assembly Institute of Math and Science for Young Women,24.9,25.666666666666668,23.666666666666668,13K527
Brooklyn Academy High School,22.463636363636365,25.363636363636363,20,13K553
Bedford Stuyvesant Preparatory High School,18.191666666666666,20.916666666666668,16.083333333333332,13K575
Bedford Academy High School,21.79375,25.4375,17.5625,13K595
Knowledge and Power Preparatory Academy VII Middle School,20,20,20,13K596
George Westinghouse Career and Technical Education High School,26.7375,32.4375,19.875,13K605
Brooklyn High School for Leadership and Community Service,18.383333333333333,21.5,15.5,13K616
Benjamin Banneker Academy,27.894736842105264,31.842105263157894,21.05263157894737,13K670
"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",21.37,28.5,13.1,13K674
J.H.S. 050 John D. Wells,29.3,31,27,14K050
Juan Morel Campos Secondary School,30.05,32.285714285714285,26.5,14K071
John Ericsson Middle School 126,23,28,18,14K126
Foundations Academy,20.6,22.833333333333332,18.5,14K322
Academy for Young Writers,22.53076923076923,26.615384615384617,17.846153846153847,14K404
"Brooklyn Latin School, The",23.26,28.533333333333335,17,14K449
Green School: An Academy for Environmental Careers,23.661538461538463,27.153846153846153,19.53846153846154,14K454
PROGRESS High School for Professional Careers,25.8375,30.9375,18.75,14K474
School for Legal Studies,27.433333333333334,32.13333333333333,21.666666666666668,14K477
"The High School for Enterprise, Business and Technology",29.36111111111111,40.94444444444444,17.944444444444443,14K478
Brooklyn Preparatory High School,23.406666666666666,26.266666666666666,20,14K488
Williamsburg High School for Architecture and Design,25.361538461538462,29.076923076923077,21.23076923076923,14K558
Williamsburg Preparatory School,25.38888888888889,29.555555555555557,20.555555555555557,14K561
Lyons Community School,20.7625,25.375,16.875,14K586
Automotive High School,25.56,30.066666666666666,19.333333333333332,14K610
Young Women's Leadership School of Brooklyn,21,21,21,14K614
Frances Perkins Academy,17.3375,19.75,15,14K632
El Puente Academy for Peace and Justice,22.3375,24.25,20.875,14K685
I.S. 136 Charles O. Dewey,21,21,21,15K136
Brooklyn School for Global Studies,25.257142857142856,28.928571428571427,21,15K429
New Voices School of Academic & Creative Arts,30.5,31,30,15K443
Brooklyn Secondary School for Collaborative Studies,23.1,26.466666666666665,19.8,15K448
Secondary School for Law,25.9,30.764705882352942,20,15K462
Secondary School for Journalism,23.77857142857143,27.714285714285715,19,15K463
Secondary School for Research,26.7375,28.6875,24.4375,15K464
School for International Studies,23.526666666666667,27.466666666666665,19.466666666666665,15K497
Cobble Hill School of American Studies,26.88235294117647,31.235294117647058,21.529411764705884,15K519
Pacific High School,19.93846153846154,24,15.538461538461538,15K520
West Brooklyn Community High School,16.17,19.4,12.9,15K529
Metropolitan Corporate Academy High School,22.16470588235294,27.352941176470587,17.176470588235293,15K530
Brooklyn High School of the Arts,26.775,31.875,18.875,15K656
SUNSET PARK HIGH SCHOOL,26.855555555555554,30.444444444444443,24,15K667
South Brooklyn Community High School,19.11,22.3,16.5,15K698
J.H.S. 057 Whitelaw Reid,18.3,19,17.5,16K057
P.S. 308 Clara Cardwell,27.1,45,19,16K308
Frederick Douglass Academy IV Secondary School,22.307692307692307,28,16.23076923076923,16K393
Boys and Girls High School,26.513333333333332,34.4,16.466666666666665,16K455
ACORN High School for Social Justice,26.64,29.333333333333332,22.333333333333332,16K498
The Brooklyn Academy of Global Finance,21.475,25.5,17.25,16K688
M.S. 002,19,20,18,17K002
M.S. 061 Dr. Gladstone H. Atwell,28.5,29,28,17K061
P.S. 181 Brooklyn,30,32,28,17K181
I.S. 340,26.1,30,20,17K340
Elijah Stroud Middle School,18,19.5,16,17K353
The School of Integrated Learning,21,21,21,17K354
Academy for College Preparation and Career Exploration: A College Board School,24.813333333333333,28.8,21.4,17K382
M.S. K394,28.5,29,28,17K394
Academy of Hospitality and Tourism,25.141666666666666,30.833333333333332,18.833333333333332,17K408
W.E.B. Dubois Academic High School,22.33,26.5,16.6,17K489
International High School at Prospect Heights,23.792307692307695,26,20.46153846153846,17K524
The High School for Global Citizenship,26.39375,30.3125,20.25,17K528
"School for Human Rights, The",30.9375,32.5625,29.125,17K531
School for Democracy and Leadership,23.242857142857144,26.357142857142858,19.857142857142858,17K533
High School for Youth and Community Development at Erasmus,23.02,27.533333333333335,17.733333333333334,17K537
High School for Service & Learning at Erasmus,27.873333333333335,31.733333333333334,22.8,17K539
