SCHOOL NAME,avg_class_size,avg_largest_class,avg_smallest_class,DBN
EBC/ENY High School for Public Safety & Law,19.825,24,14.75,23K645
Aspirations Diploma Plus High School,18.955555555555556,21.11111111111111,16.555555555555557,23K646
Metropolitan Diploma Plus High School,21.35,23.125,19.125,23K647
Teachers Preparatory High School,25.10625,30.8125,18.125,23K697
I.S. 077,28,28,28,24Q077
I.S. 093 Ridgewood,28.25,29.5,27,24Q093
I.S. 119 The Glendale,26.866666666666667,29.333333333333332,23.333333333333332,24Q119
Academy of Finance and Enterprise,24.305882352941175,30.529411764705884,18.88235294117647,24Q264
High School of Applied Communication,22.076470588235296,27.176470588235293,17.235294117647058,24Q267
Civic Leadership Academy,23.35,27.357142857142858,19.142857142857142,24Q293
Pan American International High School,19.726666666666667,23.933333333333334,16.266666666666666,24Q296
Bard High School Early College II,20.47142857142857,24,16.071428571428573,24Q299
Newtown High School,27.31111111111111,32.888888888888886,19.38888888888889,24Q455
Grover Cleveland High School,26.985,33.1,20.2,24Q485
Middle College High School at LaGuardia Community College,18.5,20.76923076923077,16.153846153846153,24Q520
International High School at LaGuardia Community College,17.00769230769231,20.46153846153846,14.307692307692308,24Q530
High School for Arts and Business,27.405555555555555,31.77777777777778,19.77777777777778,24Q550
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",26.5,28.705882352941178,24.41176470588235,24Q560
Queens Vocational and Technical High School,28.45625,33.625,20.0625,24Q600
Aviation Career & Technical Education High School,28.16111111111111,32.94444444444444,19.444444444444443,24Q610
J.H.S. 189 Daniel Carter Beard,30.95,32.5,30,25Q189
J.H.S. 194 William Carr,26,26,26,25Q194
"Queens School of Inquiry, The",24.586666666666666,28.333333333333332,21.133333333333333,25Q252
Flushing International High School,19.192307692307693,27.076923076923077,14.846153846153847,25Q263
East-West School of International Studies,28.933333333333334,32.46666666666667,25.666666666666668,25Q281
World Journalism Preparatory: A College Board School,25.04736842105263,28.05263157894737,21.94736842105263,25Q285
John Bowne High School,29.385,34,18.4,25Q425
Flushing High School,30.026315789473685,34.526315789473685,19.68421052631579,25Q460
Townsend Harris High School,29.3625,33.125,22.75,25Q525
Queens Academy High School,24.21,31.1,16.3,25Q540
Robert F. Kennedy Community High School,30.316666666666666,33.388888888888886,25.27777777777778,25Q670
North Queens Community High School,19.86875,23.75,15.875,25Q792
J.H.S. 067 Louis Pasteur,28.7,32,26,26Q067
M.S. 158 Marie Curie,29.975,30.5,29,26Q158
Irwin Altman Middle School 172,29.325,30.25,28.75,26Q172
Benjamin N. Cardozo High School,31.105263157894736,33.89473684210526,19.05263157894737,26Q415
Francis Lewis High School,30.236842105263158,34.26315789473684,17.36842105263158,26Q430
