CSD,SCHOOL CODE,SCHOOL NAME,avg_class_size,avg_largest_class,avg_smallest_class
11,X299,Astor Collegiate Academy,24.193333333333335,29.666666666666668,19
11,X322,Aspire Preparatory Middle School,31.1,33,30
11,X326,Bronx Green Middle School,28,28.5,27.5
11,X370,School of Diplomacy,31,31,31
11,X415,Christopher Columbus High School,27.294117647058822,31.235294117647058,21.647058823529413
11,X418,Bronx High School for the Visual Arts,26.96470588235294,29.058823529411764,24.941176470588236
11,X455,Harry S Truman High School,28.544444444444444,34.333333333333336,16.166666666666668
11,X513,New World High School,21.71666666666667,25.5,17
11,X514,The Bronxwood Preparatory Academy,22.9875,27,18.375
11,X541,Global Enterprise High School,21.2875,25.1875,17.0625
11,X542,Pelham Preparatory Academy,27.45294117647059,31.647058823529413,22.176470588235293
11,X544,High School for Contemporary Arts,25.623529411764707,30.470588235294116,20.529411764705884
11,X545,Bronx Aerospace High School,20.773684210526316,25.789473684210527,16.894736842105264
12,X211,P.S. 211,27.7,29,25
12,X212,P.S. 212,12,12,12
12,X242,Mott Hall V,24.9,27,22.8
12,X245,New Day Academy,20.45,22.642857142857142,18.428571428571427
12,X248,"Metropolitan High School, The",23.29230769230769,25.46153846153846,20.615384615384617
12,X251,Explorations Academy,21.15625,23.8125,18.5
12,X262,Performance Conservatory High School,25.915384615384614,30.153846153846153,21.76923076923077
12,X267,Bronx Latin,21.7,26.071428571428573,17.5
12,X271,East Bronx Academy for the Future,26.978571428571428,30.785714285714285,22.214285714285715
12,X278,Peace and Diversity Academy,21.042105263157893,22.210526315789473,19.94736842105263
12,X286,Fannie Lou Hamer Middle School,23.75,24.5,23
12,X372,Urban Assembly School for Wildlife Conservation,20.05,21,19.166666666666668
12,X384,Entrada Academy,31,31,31
12,X388,Pan American International High School at Monroe,15.361538461538462,18.076923076923077,13.23076923076923
12,X478,THE CINEMA SCHOOL,22.69090909090909,25,18.727272727272727
12,X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,21.942857142857143,24.142857142857142,18.857142857142858
12,X480,Bronx Regional High School,27.283333333333335,31.833333333333332,22.833333333333332
12,X550,High School of World Cultures,23.166666666666668,28.733333333333334,17.933333333333334
12,X680,Bronx Coalition Community High School,13.375,13.5,13.25
12,X682,Fannie Lou Hamer Freedom High School,22.466666666666665,25.416666666666668,18.75
12,X684,Wings Academy,24.54705882352941,29.764705882352942,19.11764705882353
12,X690,Monroe Academy for Business/Law,22.906666666666666,27.8,18.2
12,X692,Monroe Academy for Visual Arts & Design,22.2,30.181818181818183,16.454545454545453
13,K113,M.S. 113 Ronald Edmonds Learning Center,26.733333333333334,29,23.666666666666668
13,K265,Dr. Susan S. McKinney Secondary School of the Arts,21.44375,25.5,16.6875
13,K336,Academy of Business and Community Development,21.2875,21.625,20.875
13,K350,Urban Assembly High School of Music and Art at Water's Edge,22.16923076923077,28.53846153846154,18.846153846153847
13,K412,"Brooklyn Community High School of Communication, Arts and Media",25.2,28.866666666666667,20.666666666666668
13,K419,Science Skills Center High School at Water's Edge,27.16111111111111,32.22222222222222,20.11111111111111
13,K430,Brooklyn Technical High School,32.45263157894737,33.94736842105263,28.57894736842105
13,K439,Brooklyn International High School at Water's Edge,19.585714285714285,21.357142857142858,17.214285714285715
13,K483,The Urban Assembly School for Law and Justice,22.22142857142857,26.357142857142858,17.5
13,K499,ACORN Community High School,27.153333333333332,32.06666666666667,20.266666666666666
13,K509,Freedom Academy High School,23.335714285714285,27.857142857142858,19.5
13,K527,Urban Assembly Institute of Math and Science for Young Women,24.9,25.666666666666668,23.666666666666668
13,K553,Brooklyn Academy High School,22.463636363636365,25.363636363636363,20
13,K575,Bedford Stuyvesant Preparatory High School,18.191666666666666,20.916666666666668,16.083333333333332
13,K595,Bedford Academy High School,21.79375,25.4375,17.5625
13,K596,Knowledge and Power Preparatory Academy VII Middle School,20,20,20
13,K605,George Westinghouse Career and Technical Education High School,26.7375,32.4375,19.875
13,K616,Brooklyn High School for Leadership and Community Service,18.383333333333333,21.5,15.5
13,K670,Benjamin Banneker Academy,27.894736842105264,31.842105263157894,21.05263157894737
13,K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",21.37,28.5,13.1
14,K050,J.H.S. 050 John D. Wells,29.3,31,27
14,K071,Juan Morel Campos Secondary School,30.05,32.285714285714285,26.5
14,K126,John Ericsson Middle School 126,23,28,18
14,K322,Foundations Academy,20.6,22.833333333333332,18.5
14,K404,Academy for Young Writers,22.53076923076923,26.615384615384617,17.846153846153847
14,K449,"Brooklyn Latin School, The",23.26,28.533333333333335,17
14,K454,Green School: An Academy for Environmental Careers,23.661538461538463,27.153846153846153,19.53846153846154
14,K474,PROGRESS High School for Professional Careers,25.8375,30.9375,18.75
14,K477,School for Legal Studies,27.433333333333334,32.13333333333333,21.666666666666668
14,K478,"The High School for Enterprise, Business and Technology",29.36111111111111,40.94444444444444,17.944444444444443
14,K488,Brooklyn Preparatory High School,23.406666666666666,26.266666666666666,20
14,K558,Williamsburg High School for Architecture and Design,25.361538461538462,29.076923076923077,21.23076923076923
14,K561,Williamsburg Preparatory School,25.38888888888889,29.555555555555557,20.555555555555557
14,K586,Lyons Community School,20.7625,25.375,16.875
14,K610,Automotive High School,25.56,30.066666666666666,19.333333333333332
14,K614,Young Women's Leadership School of Brooklyn,21,21,21
14,K632,Frances Perkins Academy,17.3375,19.75,15
14,K685,El Puente Academy for Peace and Justice,22.3375,24.25,20.875
15,K136,I.S. 136 Charles O. Dewey,21,21,21
15,K429,Brooklyn School for Global Studies,25.257142857142856,28.928571428571427,21
15,K443,New Voices School of Academic & Creative Arts,30.5,31,30
15,K448,Brooklyn Secondary School for Collaborative Studies,23.1,26.466666666666665,19.8
15,K462,Secondary School for Law,25.9,30.764705882352942,20
15,K463,Secondary School for Journalism,23.77857142857143,27.714285714285715,19
15,K464,Secondary School for Research,26.7375,28.6875,24.4375
15,K497,School for International Studies,23.526666666666667,27.466666666666665,19.466666666666665
15,K519,Cobble Hill School of American Studies,26.88235294117647,31.235294117647058,21.529411764705884
15,K520,Pacific High School,19.93846153846154,24,15.538461538461538
15,K529,West Brooklyn Community High School,16.17,19.4,12.9
15,K530,Metropolitan Corporate Academy High School,22.16470588235294,27.352941176470587,17.176470588235293
15,K656,Brooklyn High School of the Arts,26.775,31.875,18.875
15,K667,SUNSET PARK HIGH SCHOOL,26.855555555555554,30.444444444444443,24
15,K698,South Brooklyn Community High School,19.11,22.3,16.5
16,K057,J.H.S. 057 Whitelaw Reid,18.3,19,17.5
16,K308,P.S. 308 Clara Cardwell,27.1,45,19
16,K393,Frederick Douglass Academy IV Secondary School,22.307692307692307,28,16.23076923076923
16,K455,Boys and Girls High School,26.513333333333332,34.4,16.466666666666665
16,K498,ACORN High School for Social Justice,26.64,29.333333333333332,22.333333333333332
16,K688,The Brooklyn Academy of Global Finance,21.475,25.5,17.25
17,K002,M.S. 002,19,20,18
17,K061,M.S. 061 Dr. Gladstone H. Atwell,28.5,29,28
17,K181,P.S. 181 Brooklyn,30,32,28
17,K340,I.S. 340,26.1,30,20
17,K353,Elijah Stroud Middle School,18,19.5,16
17,K354,The School of Integrated Learning,21,21,21
17,K382,Academy for College Preparation and Career Exploration: A College Board School,24.813333333333333,28.8,21.4
17,K394,M.S. K394,28.5,29,28
17,K408,Academy of Hospitality and Tourism,25.141666666666666,30.833333333333332,18.833333333333332
17,K489,W.E.B. Dubois Academic High School,22.33,26.5,16.6
17,K524,International High School at Prospect Heights,23.792307692307695,26,20.46153846153846
17,K528,The High School for Global Citizenship,26.39375,30.3125,20.25
17,K531,"School for Human Rights, The",30.9375,32.5625,29.125
17,K533,School for Democracy and Leadership,23.242857142857144,26.357142857142858,19.857142857142858
17,K537,High School for Youth and Community Development at Erasmus,23.02,27.533333333333335,17.733333333333334
17,K539,High School for Service & Learning at Erasmus,27.873333333333335,31.733333333333334,22.8
17,K543,"Science, Technology and Research Early College High School at Erasmus",23.09285714285714,28,17.642857142857142
17,K544,International Arts Business School,22.54,27.8,16.266666666666666
17,K546,High School for Public Service: Heroes of Tomorrow,23.116666666666667,26.11111111111111,19
17,K547,Brooklyn Academy of Science and the Environment,21.385714285714286,25.142857142857142,16.357142857142858
17,K548,Brooklyn School for Music & Theatre,26.0875,30.0625,21.125
17,K568,Brownsville Academy High School,17.754545454545454,22.636363636363637,13.727272727272727
17,K587,Middle School for the Arts,28.633333333333333,31.666666666666668,25
17,K590,Medgar Evers College Preparatory School,27.576470588235296,36.1764705882353,18.11764705882353
17,K600,Clara Barton High School,29.25,35.05555555555556,21.27777777777778
17,K625,Paul Robeson High School,24.88125,28.8125,19.5625
18,K068,I.S. 068 Isaac Bildersee,27.4,30,19
18,K211,I.S. 211 John Wilson,26.5,30,24
18,K285,I.S. 285 Meyer Levin,25.075,25.75,24.25
18,K500,Canarsie High School,21.38888888888889,24.444444444444443,17.88888888888889
18,K563,It Takes a Village Academy,20.83157894736842,27.57894736842105,15.631578947368421
18,K566,Brooklyn Generation School,19.933333333333334,22.583333333333332,17.416666666666668
18,K567,Brooklyn Theatre Arts High School,26.066666666666666,28.2,23.133333333333333
18,K569,Kurt Hahn Expeditionary Learning School,26.125,28.5,23.0625
18,K576,Victory Collegiate High School,25.01111111111111,28.22222222222222,22.333333333333332
18,K578,Brooklyn Bridge Academy,16.9375,21,13.5
18,K588,Middle School for Art and Philosophy,15,15,15
18,K589,Arts & Media Preparatory Academy,20.05,21.785714285714285,18.285714285714285
18,K617,High School for Innovation in Advertising and Media,19.625,25.083333333333332,14.583333333333334
18,K629,Cultural Academy for the Arts and Sciences,18.37272727272727,21.454545454545453,15.454545454545455
18,K633,High School for Medical Professions,26.95,30.8125,23.0625
18,K635,Olympus Academy,14.9,17.4,13
18,K637,Academy for Conservation and the Environment,19.6,22.333333333333332,17
18,K642,Urban Action Academy,20.5625,23.375,17
18,K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,18.8,18.8,18.8
19,K089,P.S. 089 Cypress Hills,15.5,17,14
19,K166,J.H.S. 166 George Gershwin,18,18,18
19,K218,J.H.S. 218 James P. Sinnott,37.75,38,37.5
19,K292,J.H.S. 292 Margaret S. Douglas,38.3,59,24
19,K364,I.S. 364 Gateway,28.9,30,25
19,K409,East New York Family Academy,19.121052631578948,20.894736842105264,17.263157894736842
19,K420,Franklin K. Lane High School,19.542857142857144,22.357142857142858,17.142857142857142
19,K502,FDNY High School for Fire and Life Safety,23.52,28.266666666666666,18.333333333333332
19,K504,High School for Civil Rights,26.166666666666668,30.066666666666666,22.4
19,K507,Performing Arts and Technology High School,24.614285714285714,28.928571428571427,17.571428571428573
19,K510,World Academy for Total Community Health High School,23.99375,29.125,19.0625
19,K583,Multicultural High School,23.808333333333334,27.666666666666668,19.5
19,K615,Transit Tech Career and Technical Education High School,26.97142857142857,31.428571428571427,21.142857142857142
19,K618,Academy of Innovative Technology,23.318181818181817,27.727272727272727,19.09090909090909
19,K639,Brooklyn Lab School,25.29230769230769,26.76923076923077,23.307692307692307
19,K659,Cypress Hills Collegiate Preparatory School,23.847058823529412,26.176470588235293,22.058823529411764
